date,total_cases,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-31,36033396.0,0.0,0.0,0.0
2020-06-30,1702119841.0,0.0,0.0,0.0
2020-09-30,7792732712.0,0.0,0.0,0.0
2020-12-31,20906652592.0,192413025.0,1638333.0,12.0
2021-03-31,39918296443.0,49598761827.0,17037978221.0,7119652.0
2021-06-30,59886222421.0,324813615687.0,141578102431.0,43206157.0
2021-09-30,78903024380.0,916625127657.0,561573806354.0,5329391919.0
2021-12-31,97497894174.0,1387771306582.0,1103951900816.0,81456954379.0
2022-03-31,150485580555.0,1622486043387.0,1418914163931.0,406935686889.0
2022-06-30,200690146865.0,1707041395137.0,1551301346755.0,641545137141.0
2022-09-30,228989415455.0,1733740813604.0,1593015924779.0,765215378343.0
2022-12-31,250438844249.0,1747473548260.0,1605363028227.0,838565463058.0
2023-03-31,287174348072.0,1722351051348.0,1585577501128.0,852255351457.0
2023-06-30,295020564798.0,1706051956843.0,1570002648331.0,841940143279.0
2023-09-30,299844736236.0,1706641365002.0,1572958132068.0,842588050446.0
2023-12-31,300997945707.0,1683153927254.0,1550647991511.0,835862969576.0
2024-03-31,298762650094.0,1567947859837.0,1451427047083.0,796201674480.0
2024-06-30,115001376902.0,850083312730.0,786070450162.0,429832836239.0
